,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22
working day mean passenger,16802.52717,49221.95659,134214.8359,225691.1816,138738.3816,92025.72909,87295.14286,90860.10808,98957.96677,97119.36117,103908.9918,116113.1939,140319.4887,208390.9339,158223.4007,104861.298,98133.64793
non-working mean passenger,16691.21785,42023.5253,91913.57623,157695.7343,118471.1528,91337.13516,95764.64902,105333.5181,114478.5454,113778.7733,118505.1933,130096.5597,150055.2688,182875.7574,140645.7879,100706.8793,94365.20949
